Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
P19_D3,0.024623174371958483,0,0,0.07154198109792428,0.13975141517745174,0.17995978381713826,0.012259031436342428,0,0.022846199750860767,0,0.022422171480115674,0.0025647447436719464,0.14347981959342215,0,0,0,0,0.0024842720847982123,0.013320796272222919,0,0,0.36474661017409316,0,0.6317889453835207,0.7761413370446216
P21_D0,0.025925445404872183,0,0.006490464077533568,0,0.11948153772135318,0.045516948208982014,0.036057669228843944,0,0,0,0.05075607504405476,0,0.0852493566413066,0,0,0,0,0.012857665471523174,0.0002,0,0,0.6174772162876498,0,0.6785823482940165,0.7721583147778686
P21_D3,0.007554663127464578,0,0,0.06150859226997442,0.129631578354232,0.14059522751078407,0.01393800803564149,0,0,0,0.04368020298946709,0,0.16651264305135693,0,0,0,0,0.005013722906685073,0.017017588490626605,0,0,0.41454777326376774,0,0.74241976939448,0.6722206481193579
P22_D0,0.044303994477160664,0,0,0,0.16597960867192327,0.07720628133726591,0.023864981147589632,0,0,0.0004,0.04436063096074834,0,0.021968518122840685,0,0,0,0,0.012160162860580439,0.013470452939793978,0,0,0.596305698394839,0,0.7534994820935333,0.670285242017882
P22_D7,0.042495644725796373,0,0,0.09111298178110962,0.18032634607453574,0.17536670332594678,0.0030554884806802103,0,0.03539651749901201,0,0.09326948315606023,0,0.16806490093928303,0.0007,0,0,0,0,0,0,0,0.2101844007551514,0,0.6602465154697159,0.7562470322597393
P23_D0,0.06720852681801143,0,0.006694907760812372,0,0.15293188109975867,0.069712966813244,0.03688492913070197,0,0,0,0.055988499399703726,0,0.08476547237525814,0.024576692281261466,0,0,0,0.008117386962678318,0,0.007461950371199291,0,0.48565678698737064,0,0.7172331469363799,0.7000323354623533
P23_D7,0.02098598325780409,0,0,0.0929057350410669,0.16205798414562977,0.09481257292534191,0.011183510461383633,0,0.07404440680055639,0,0.09483609210769821,0,0.24363453642041197,0.0320015600172017,0,0,0,0,0,0,0,0.17353761882290542,0,0.6482923498898348,0.7672896254929668
P24_D0,0.02743775140404623,0,0.007460030003493341,0,0.16446752149249638,0.17657051153457076,0.034487769787490484,0,0,0,0.0595223934758797,0,0.06700082783822056,0.01680252172546446,0,0,0,0.007927306485603716,0.004804059312700267,0,0,0.43351930694003404,0.01,0.4642885203421543,0.9167314651725011
P24_D3,0.03875457495771606,0,0,0.049947270399151956,0.2585569633855364,0.2542815529526275,0.02784023636464018,0,0.00419463135024949,0,0.06112623888828307,0,0.10024984187957497,0,0,0,0,0.004690882906014941,0.01606995403436787,0,0,0.18428785288183763,0.01,0.24173095946030335,1.0201182646129314
P25_D0,0.04904403060281338,0,0.009688725632546696,0,0.18320041972563422,0.07683618775183529,0.020922060523918675,0,0,0,0.03419238116505463,0,0.022227462149494316,0,0,0,0,0.014271153905410828,0,0,0,0.589617578543292,0,0.6866158289211206,0.7489310092666221
